タマコッコ to アヌビス, maxgen = 3
	Gen:T-01 ミルカルビ(910) = ミルカルビ(910) + ミルカルビ(910)
	Gen:T-01 ミルカルビ(910) = ミステリア(1110) + ゴクエンオ(710)
	Gen:T-01 ミルカルビ(910) = マスクロウ(1080) + イヌズマ(740)
	Gen:T-01 ミルカルビ(910) = マグピス(1270) + スナペント(550)
	Gen:T-01 ミルカルビ(910) = ボルトラ(1410) + ドンモップ(410)
	Gen:T-01 ミルカルビ(910) = ポプリーナ(1280) + シルフィア(540)
	Gen:T-01 ミルカルビ(910) = ホウロック(1390) + ササゾー(430)
	Gen:T-01 ミルカルビ(910) = ペンタマ(1350) + アルパオー(470)
	Gen:T-01 ミルカルビ(910) = ベリゴート(930) + メルパカ(890)
	Gen:T-01 ミルカルビ(910) = ベリゴート(930) + トドドドン(895)
	Gen:T-01 ミルカルビ(910) = フォレーナ(1160) + カバネドリ(660)
	Gen:T-01 ミルカルビ(910) = フェザーロ(1020) + オコチョ(800)
	Gen:T-01 ミルカルビ(910) = ヒメウサ(1310) + ニャンギマリ(510)
	Gen:T-01 ミルカルビ(910) = ヒノコジカ(1155) + ゴクエンオ(670)
	Gen:T-01 ミルカルビ(910) = ヒノコジカ(1155) + カバネドリ(660)
	Gen:T-01 ミルカルビ(910) = ビーナイト(1070) + ニャンバット(750)
	Gen:T-01 ミルカルビ(910) = パチグリ(1370) + シルキーヌ(450)
	Gen:T-01 ミルカルビ(910) = ネムラム(1230) + ヘルゴート(590)
	Gen:T-01 ミルカルビ(910) = ニャオテト(1480) + グラクレス(340)
	Gen:T-01 ミルカルビ(910) = ナエモチ(1240) + アビスゴート(580)
	Gen:T-01 ミルカルビ(910) = ツノガミ(920) + トドドドン(895)
	Gen:T-01 ミルカルビ(910) = ツノガミ(920) + ツノガミ(900)
	Gen:T-01 ミルカルビ(910) = ツッパニャン(1460) + サラブレイズ(360)
	Gen:T-01 ミルカルビ(910) = ツキカゲ(950) + ルミカイト(870)
	Gen:T-01 ミルカルビ(910) = チルテト(1440) + イグニクス(380)
	Gen:T-01 ミルカルビ(910) = チョロゾウ(1490) + クインビーナ(330)
	Gen:T-01 ミルカルビ(910) = ダリザード(1140) + ライコーン(680)
	Gen:T-01 ミルカルビ(910) = ダリザード(1120) + クレメーオ(700)
	Gen:T-01 ミルカルビ(910) = タマモ(1450) + ホルス(370)
	Gen:T-01 ミルカルビ(910) = タマコッコ(1500) + ボルカノン(320)
	Gen:T-01 ミルカルビ(910) = タマコッコ(1500) + アグニドラ(315)
	Gen:T-01 ミルカルビ(910) = ソルレイス(1150) + ゴクエンオ(670)
	Gen:T-01 ミルカルビ(910) = サンドロ(1000) + アロアリュー(820)
	Gen:T-01 ミルカルビ(910) = ゴリレイジ(1040) + フラリーナ(780)
	Gen:T-01 ミルカルビ(910) = コモップ(1300) + キャプペン(520)
	Gen:T-01 ミルカルビ(910) = コチグリ(1360) + ヒエティ(460)
	Gen:T-01 ミルカルビ(910) = ケルピス(1260) + シーペント(560)
	Gen:T-01 ミルカルビ(910) = クルリス(1430) + ササゾー(390)
	Gen:T-01 ミルカルビ(910) = クルットリ(1340) + ヒエティ(480)
	Gen:T-01 ミルカルビ(910) = キツネビ(1400) + ホークウィン(420)
	Gen:T-01 ミルカルビ(910) = カモノスケ(1330) + パピテフ(490)
	Gen:T-01 ミルカルビ(910) = ガウルフ(1060) + フブキツネ(760)
	Gen:T-01 ミルカルビ(910) = オバケナワ(1422) + ササゾー(390)
	Gen:T-01 ミルカルビ(910) = エテッパ(1250) + アヌビス(570)
	Gen:T-01 ミルカルビ(910) = エアムルグ(1030) + ブルフェルノ(790)
	Gen:T-01 ミルカルビ(910) = イバラヒメ(1320) + アズレーン(500)
	Gen:T-01 ミルカルビ(910) = アビスゴート(580) + ナエモチ(1240)
	Gen:T-01 ミステリア(1110) = ンダコアラ(1380) + ラブラドン(840)
	Gen:T-01 ミステリア(1110) = ンダコアラ(1380) + ドリタス(850)
	Gen:T-01 ミステリア(1110) = ンダコアラ(1380) + シラヌイ(830)
	Gen:T-01 ミステリア(1110) = ルミカイト(870) + ペンタマ(1350)
	Gen:T-01 ミステリア(1110) = ルナティ(1180) + ゴリレイジ(1040)
	Gen:T-01 ミステリア(1110) = ルナティ(1180) + エアムルグ(1030)
	Gen:T-01 ミステリア(1110) = ルナティ(1180) + ヴィオレッタ(1050)
	Gen:T-01 ミステリア(1110) = ラベロット(990) + ネムラム(1230)
	Gen:T-01 ミステリア(1110) = ラベロット(990) + ナエモチ(1240)
	Gen:T-01 ミステリア(1110) = ラブラドン(860) + ペンタマ(1350)
	Gen:T-01 ミステリア(1110) = ラヴィ(1405) + ビリビリリュー(810)
	Gen:T-01 ミステリア(1110) = ラヴィ(1405) + アロアリュー(820)
	Gen:T-01 ミステリア(1110) = ヤミイカ(1290) + ラブマンダー(940)
	Gen:T-01 ミステリア(1110) = ヤミイカ(1290) + ベリゴート(930)
	Gen:T-01 ミステリア(1110) = ヤミイカ(1290) + ツノガミ(920)
	Gen:T-01 ミステリア(1110) = モコロン(1470) + フブキツネ(760)
	Gen:T-01 ミステリア(1110) = モコロン(1470) + ニャンバット(750)
	Gen:T-01 ミステリア(1110) = モコロン(1470) + イヌズマ(740)
	Gen:T-01 ミステリア(1110) = モグルン(1220) + ラベロット(990)
	Gen:T-01 ミステリア(1110) = モグルン(1220) + ヤミトバリ(1010)
	Gen:T-01 ミステリア(1110) = モグルン(1220) + サンドロ(1000)
	Gen:T-01 ミステリア(1110) = メリポップ(1190) + フェザーロ(1020)
	Gen:T-01 ミステリア(1110) = メリポップ(1190) + ゴリレイジ(1040)
	Gen:T-01 ミステリア(1110) = メリポップ(1190) + エアムルグ(1030)
	Gen:T-01 ミステリア(1110) = ムラクモ(980) + ネムラム(1230)
	Gen:T-01 ミステリア(1110) = ムラクモ(980) + ナエモチ(1240)
	Gen:T-01 ミステリア(1110) = ミルフィー(1455) + フブキツネ(760)
	Gen:T-01 ミステリア(1110) = ミステリア(1110) + ミステリア(1110)
	Gen:T-01 ミステリア(1110) = ミステリア(1110) + シャーマンダー(1100)
	Gen:T-01 ミステリア(1110) = マグピス(1270) + ラブマンダー(940)
	Gen:T-01 ミステリア(1110) = マグピス(1270) + ツキカゲ(950)
	Gen:T-01 ミステリア(1110) = ボルトラ(1410) + ビリビリリュー(810)
	Gen:T-01 ミステリア(1110) = ボルトラ(1410) + オコチョ(800)
	Gen:T-01 ミステリア(1110) = ボルトラ(1410) + アロアリュー(820)
	Gen:T-01 ミステリア(1110) = ポプリーナ(1280) + ラブマンダー(940)
	Gen:T-01 ミステリア(1110) = ポプリーナ(1280) + ベリゴート(930)
	Gen:T-01 ミステリア(1110) = ポプリーナ(1280) + ツキカゲ(950)
	Gen:T-01 ミステリア(1110) = ホウロック(1390) + ラブラドン(840)
	Gen:T-01 ミステリア(1110) = ホウロック(1390) + シラヌイ(830)
	Gen:T-01 ミステリア(1110) = ホウロック(1390) + アロアリュー(820)
	Gen:T-01 ミステリア(1110) = フォレーナ(1160) + ビーナイト(1070)
	Gen:T-01 ミステリア(1110) = フォレーナ(1160) + ガウルフ(1060)
	Gen:T-01 ミステリア(1110) = フォレーナ(1160) + ヴィオレッタ(1050)
	Gen:T-01 ミステリア(1110) = ヒメウサ(1310) + ミルカルビ(910)
	Gen:T-01 ミステリア(1110) = ヒメウサ(1310) + ツノガミ(920)
	Gen:T-01 ミステリア(1110) = ヒメウサ(1310) + ツノガミ(900)
	Gen:T-01 ミステリア(1110) = ヒノコジカ(1155) + ビーナイト(1070)
	Gen:T-01 ミステリア(1110) = ヒノコジカ(1155) + ガウルフ(1060)
	Gen:T-01 ミステリア(1110) = パチグリ(1370) + ラブラドン(860)
	Gen:T-01 ミステリア(1110) = パチグリ(1370) + ラブラドン(840)
	Gen:T-01 ミステリア(1110) = パチグリ(1370) + ドリタス(850)
	Gen:T-01 ミステリア(1110) = ニャオテト(1480) + ニャンバット(750)
	Gen:T-01 ミステリア(1110) = ニャオテト(1480) + イヌズマ(740)
	Gen:T-01 ミステリア(1110) = ナエモチ(1240) + ラベロット(990)
	Gen:T-01 ミステリア(1110) = ナエモチ(1240) + ムラクモ(980)
	Gen:T-01 ミステリア(1110) = ツララジカ(880) + ペンタマ(1350)
	Gen:T-01 ミステリア(1110) = ツッパニャン(1460) + フブキツネ(760)
	Gen:T-01 ミステリア(1110) = ツッパニャン(1460) + ニャンバット(750)
	Gen:T-01 ミステリア(1110) = チルテト(1440) + ブルフェルノ(790)
	Gen:T-01 ミステリア(1110) = チルテト(1440) + フラリーナ(780)
	Gen:T-01 ミステリア(1110) = チョロゾウ(1490) + イヌズマ(740)
	Gen:T-01 ミステリア(1110) = ダリザード(1140) + マスクロウ(1080)
	Gen:T-01 ミステリア(1110) = ダリザード(1140) + ビーナイト(1070)
	Gen:T-01 ミステリア(1110) = ダリザード(1140) + シャーキッド(1090)
	Gen:T-01 ミステリア(1110) = ダリザード(1120) + ミステリア(1110)
	Gen:T-01 ミステリア(1110) = ダリザード(1120) + シャーマンダー(1100)
	Gen:T-01 ミステリア(1110) = ダリザード(1120) + シャーキッド(1090)
	Gen:T-01 ミステリア(1110) = タマモ(1450) + フラリーナ(780)
	Gen:T-01 ミステリア(1110) = タマモ(1450) + フブキツネ(760)
	Gen:T-01 ミステリア(1110) = タマコッコ(1500) + ゴクエンオ(710)
	Gen:T-01 ミステリア(1110) = ソルレイス(1150) + マスクロウ(1080)
	Gen:T-01 ミステリア(1110) = ソルレイス(1150) + ビーナイト(1070)
	Gen:T-01 ミステリア(1110) = ソルレイス(1150) + ガウルフ(1060)
	Gen:T-01 ミステリア(1110) = シメナワ(1420) + ブルフェルノ(790)
	Gen:T-01 ミステリア(1110) = シメナワ(1420) + ビリビリリュー(810)
	Gen:T-01 ミステリア(1110) = シメナワ(1420) + オコチョ(800)
	Gen:T-01 ミステリア(1110) = サンドロ(1000) + ネムラム(1230)
	Gen:T-01 ミステリア(1110) = コモップ(1300) + ミルカルビ(910)
	Gen:T-01 ミステリア(1110) = コモップ(1300) + ベリゴート(930)
	Gen:T-01 ミステリア(1110) = コモップ(1300) + ツノガミ(920)
	Gen:T-01 ミステリア(1110) = コチグリ(1360) + ルミカイト(870)
	Gen:T-01 ミステリア(1110) = コチグリ(1360) + ラブラドン(860)
	Gen:T-01 ミステリア(1110) = コチグリ(1360) + ドリタス(850)
	Gen:T-01 ミステリア(1110) = ケルピス(1260) + ツキカゲ(950)
	Gen:T-01 ミステリア(1110) = クルリス(1430) + ブルフェルノ(790)
	Gen:T-01 ミステリア(1110) = クルリス(1430) + フラリーナ(780)
	Gen:T-01 ミステリア(1110) = クルリス(1430) + オコチョ(800)
	Gen:T-01 ミステリア(1110) = クルットリ(1340) + ルミカイト(870)
	Gen:T-01 ミステリア(1110) = クルットリ(1340) + メルパカ(890)
	Gen:T-01 ミステリア(1110) = クルットリ(1340) + ツララジカ(880)
	Gen:T-01 ミステリア(1110) = キツネビ(1400) + ビリビリリュー(810)
	Gen:T-01 ミステリア(1110) = キツネビ(1400) + シラヌイ(830)
	Gen:T-01 ミステリア(1110) = キツネビ(1400) + アロアリュー(820)
	Gen:T-01 ミステリア(1110) = カモノスケ(1330) + メルパカ(890)
	Gen:T-01 ミステリア(1110) = カモノスケ(1330) + トドドドン(895)
	Gen:T-01 ミステリア(1110) = カモノスケ(1330) + ツララジカ(880)
	Gen:T-01 ミステリア(1110) = カモノスケ(1330) + ツノガミ(900)
	Gen:T-01 ミステリア(1110) = カミナラシ(1210) + ヤミトバリ(1010)
	Gen:T-01 ミステリア(1110) = カミナラシ(1210) + フェザーロ(1020)
	Gen:T-01 ミステリア(1110) = カミナラシ(1210) + サンドロ(1000)
	Gen:T-01 ミステリア(1110) = オバケナワ(1422) + ブルフェルノ(790)
	Gen:T-01 ミステリア(1110) = オバケナワ(1422) + オコチョ(800)
	Gen:T-01 ミステリア(1110) = エテッパ(1250) + ムラクモ(980)
	Gen:T-01 ミステリア(1110) = イバラヒメ(1320) + メルパカ(890)
	Gen:T-01 ミステリア(1110) = イバラヒメ(1320) + ミルカルビ(910)
	Gen:T-01 ミステリア(1110) = イバラヒメ(1320) + トドドドン(895)
	Gen:T-01 ミステリア(1110) = イバラヒメ(1320) + ツノガミ(900)
	Gen:T-01 ミステリア(1110) = イノボウ(1130) + マスクロウ(1080)
	Gen:T-01 ミステリア(1110) = イノボウ(1130) + シャーマンダー(1100)
	Gen:T-01 ミステリア(1110) = イノボウ(1130) + シャーキッド(1090)
	Gen:T-01 マスクロウ(1080) = ンダコアラ(1380) + フラリーナ(780)
	Gen:T-01 マスクロウ(1080) = ルナティ(1180) + ムラクモ(980)
	Gen:T-01 マスクロウ(1080) = ラヴィ(1405) + フブキツネ(760)
	Gen:T-01 マスクロウ(1080) = ラヴィ(1405) + ニャンバット(750)
	Gen:T-01 マスクロウ(1080) = ヤミイカ(1290) + ルミカイト(870)
	Gen:T-01 マスクロウ(1080) = ヤミイカ(1290) + ラブラドン(860)
	Gen:T-01 マスクロウ(1080) = モコロン(1470) + ライコーン(680)
	Gen:T-01 マスクロウ(1080) = モグルン(1220) + ラブマンダー(940)
	Gen:T-01 マスクロウ(1080) = モグルン(1220) + ベリゴート(930)
	Gen:T-01 マスクロウ(1080) = ミルフィー(1455) + ゴクエンオ(710)
	Gen:T-01 マスクロウ(1080) = ミルフィー(1455) + クレメーオ(700)
	Gen:T-01 マスクロウ(1080) = ミルカルビ(910) + ナエモチ(1240)
	Gen:T-01 マスクロウ(1080) = ミステリア(1110) + ゴリレイジ(1040)
	Gen:T-01 マスクロウ(1080) = ミステリア(1110) + ヴィオレッタ(1050)
	Gen:T-01 マスクロウ(1080) = マスクロウ(1080) + マスクロウ(1080)
	Gen:T-01 マスクロウ(1080) = マスクロウ(1080) + ビーナイト(1070)
	Gen:T-01 マスクロウ(1080) = マグピス(1270) + メルパカ(890)
	Gen:T-01 マスクロウ(1080) = マグピス(1270) + トドドドン(895)
	Gen:T-01 マスクロウ(1080) = マグピス(1270) + ツララジカ(880)
	Gen:T-01 マスクロウ(1080) = ボルトラ(1410) + ニャンバット(750)
	Gen:T-01 マスクロウ(1080) = ボルトラ(1410) + イヌズマ(740)
	Gen:T-01 マスクロウ(1080) = ポプリーナ(1280) + ルミカイト(870)
	Gen:T-01 マスクロウ(1080) = ポプリーナ(1280) + ツララジカ(880)
	Gen:T-01 マスクロウ(1080) = ホウロック(1390) + フブキツネ(760)
	Gen:T-01 マスクロウ(1080) = ベリゴート(930) + ネムラム(1230)
	Gen:T-01 マスクロウ(1080) = フォレーナ(1160) + ラベロット(990)
	Gen:T-01 マスクロウ(1080) = フォレーナ(1160) + サンドロ(1000)
	Gen:T-01 マスクロウ(1080) = ビリビリリュー(810) + ペンタマ(1350)
	Gen:T-01 マスクロウ(1080) = ヒメウサ(1310) + ラブラドン(840)
	Gen:T-01 マスクロウ(1080) = ヒメウサ(1310) + ドリタス(850)
	Gen:T-01 マスクロウ(1080) = ヒノコジカ(1155) + ヤミトバリ(1010)
	Gen:T-01 マスクロウ(1080) = ヒノコジカ(1155) + サンドロ(1000)
	Gen:T-01 マスクロウ(1080) = パチグリ(1370) + ブルフェルノ(790)
	Gen:T-01 マスクロウ(1080) = パチグリ(1370) + フラリーナ(780)
	Gen:T-01 マスクロウ(1080) = ニャオテト(1480) + ライコーン(680)
	Gen:T-01 マスクロウ(1080) = ニャオテト(1480) + ゴクエンオ(670)
	Gen:T-01 マスクロウ(1080) = ナエモチ(1240) + ミルカルビ(910)
	Gen:T-01 マスクロウ(1080) = ナエモチ(1240) + ツノガミ(920)
	Gen:T-01 マスクロウ(1080) = ツノガミ(920) + ネムラム(1230)
	Gen:T-01 マスクロウ(1080) = ツノガミ(920) + ナエモチ(1240)
	Gen:T-01 マスクロウ(1080) = ツッパニャン(1460) + クレメーオ(700)
	Gen:T-01 マスクロウ(1080) = チルテト(1440) + ゴクエンオ(710)
	Gen:T-01 マスクロウ(1080) = チョロゾウ(1490) + ゴクエンオ(670)
	Gen:T-01 マスクロウ(1080) = チョロゾウ(1490) + カバネドリ(660)
	Gen:T-01 マスクロウ(1080) = ダリザード(1140) + ヤミトバリ(1010)
	Gen:T-01 マスクロウ(1080) = ダリザード(1140) + フェザーロ(1020)
	Gen:T-01 マスクロウ(1080) = ダリザード(1120) + ゴリレイジ(1040)
	Gen:T-01 マスクロウ(1080) = ダリザード(1120) + エアムルグ(1030)
	Gen:T-01 マスクロウ(1080) = タマモ(1450) + ゴクエンオ(710)
	Gen:T-01 マスクロウ(1080) = タマモ(1450) + クレメーオ(700)
	Gen:T-01 マスクロウ(1080) = タマコッコ(1500) + カバネドリ(660)
	Gen:T-01 マスクロウ(1080) = ソルレイス(1150) + ヤミトバリ(1010)
	Gen:T-01 マスクロウ(1080) = ソルレイス(1150) + サンドロ(1000)
	Gen:T-01 マスクロウ(1080) = シャーマンダー(1100) + ガウルフ(1060)
	Gen:T-01 マスクロウ(1080) = シャーマンダー(1100) + ヴィオレッタ(1050)
	Gen:T-01 マスクロウ(1080) = シャーキッド(1090) + ビーナイト(1070)
	Gen:T-01 マスクロウ(1080) = シャーキッド(1090) + ガウルフ(1060)
	Gen:T-01 マスクロウ(1080) = シメナワ(1420) + イヌズマ(740)
	Gen:T-01 マスクロウ(1080) = コモップ(1300) + ラブラドン(860)
	Gen:T-01 マスクロウ(1080) = コモップ(1300) + ドリタス(850)
	Gen:T-01 マスクロウ(1080) = コチグリ(1360) + ブルフェルノ(790)
	Gen:T-01 マスクロウ(1080) = コチグリ(1360) + オコチョ(800)
	Gen:T-01 マスクロウ(1080) = ケルピス(1260) + メルパカ(890)
	Gen:T-01 マスクロウ(1080) = ケルピス(1260) + トドドドン(895)
	Gen:T-01 マスクロウ(1080) = ケルピス(1260) + ツノガミ(900)
	Gen:T-01 マスクロウ(1080) = クルットリ(1340) + ビリビリリュー(810)
	Gen:T-01 マスクロウ(1080) = クルットリ(1340) + アロアリュー(820)
	Gen:T-01 マスクロウ(1080) = キツネビ(1400) + フブキツネ(760)
	Gen:T-01 マスクロウ(1080) = キツネビ(1400) + ニャンバット(750)
	Gen:T-01 マスクロウ(1080) = カモノスケ(1330) + シラヌイ(830)
	Gen:T-01 マスクロウ(1080) = カモノスケ(1330) + アロアリュー(820)
	Gen:T-01 マスクロウ(1080) = カミナラシ(1210) + ラブマンダー(940)
	Gen:T-01 マスクロウ(1080) = カミナラシ(1210) + ツキカゲ(950)
	Gen:T-01 マスクロウ(1080) = オバケナワ(1422) + イヌズマ(740)
	Gen:T-01 マスクロウ(1080) = オコチョ(800) + ペンタマ(1350)
	Gen:T-01 マスクロウ(1080) = エテッパ(1250) + ミルカルビ(910)
	Gen:T-01 マスクロウ(1080) = エテッパ(1250) + ツノガミ(900)
	Gen:T-01 マスクロウ(1080) = イバラヒメ(1320) + ラブラドン(840)
	Gen:T-01 マスクロウ(1080) = イバラヒメ(1320) + シラヌイ(830)
	Gen:T-01 マスクロウ(1080) = イノボウ(1130) + フェザーロ(1020)
	Gen:T-01 マスクロウ(1080) = イノボウ(1130) + エアムルグ(1030)
	Gen:T-01 ホルス(370) = ライコーン(680) + ベイントール(70)
	Gen:T-01 ホルス(370) = ライコーン(680) + ゼノグリフ(60)
	Gen:T-01 ホルス(370) = ホークウィン(420) + ボルカノン(320)
	Gen:T-01 ホルス(370) = ホークウィン(420) + クインビーナ(330)
	Gen:T-01 ホルス(370) = ホークウィン(420) + アグニドラ(315)
	Gen:T-01 ホルス(370) = ヘルゴート(590) + ジオラーヴァ(150)
	Gen:T-01 ホルス(370) = ヒエティ(480) + パリピドン(270)
	Gen:T-01 ホルス(370) = ヒエティ(480) + デスティング(260)
	Gen:T-01 ホルス(370) = ヒエティ(460) + ペコドン(280)
	Gen:T-01 ホルス(370) = ヒエティ(460) + ブリザモス(290)
	Gen:T-01 ホルス(370) = パピテフ(490) + リリクイン(250)
	Gen:T-01 ホルス(370) = パピテフ(490) + デスティング(260)
	Gen:T-01 ホルス(370) = ニャンギマリ(510) + ボルカノン(230)
	Gen:T-01 ホルス(370) = ニャンギマリ(510) + サラブレイズ(240)
	Gen:T-01 ホルス(370) = ドンモップ(410) + グラクレス(340)
	Gen:T-01 ホルス(370) = ドンモップ(410) + クインビーナ(330)
	Gen:T-01 ホルス(370) = ツジギリ(640) + グレイシャドウ(100)
	Gen:T-01 ホルス(370) = スナペント(550) + ヘルガルダ(190)
	Gen:T-01 ホルス(370) = スナペント(550) + エレパンダ(200)
	Gen:T-01 ホルス(370) = シロカバネ(620) + ツンドラー(130)
	Gen:T-01 ホルス(370) = シロカバネ(620) + グレイシャル(120)
	Gen:T-01 ホルス(370) = シルフィア(540) + リリクイン(210)
	Gen:T-01 ホルス(370) = シルフィア(540) + エレパンダ(200)
	Gen:T-01 ホルス(370) = シルティア(530) + リリクイン(210)
	Gen:T-01 ホルス(370) = シルティア(530) + ライバード(220)
	Gen:T-01 ホルス(370) = シルキーヌ(450) + ブリザモス(290)
	Gen:T-01 ホルス(370) = シルキーヌ(450) + グランモス(300)
	Gen:T-01 ホルス(370) = シーペント(560) + ヘルガルダ(190)
	Gen:T-01 ホルス(370) = ササゾー(430) + レヴィドラ(310)
	Gen:T-01 ホルス(370) = ササゾー(430) + ボルカノン(320)
	Gen:T-01 ホルス(370) = ササゾー(430) + アグニドラ(315)
	Gen:T-01 ホルス(370) = ササゾー(390) + フェスキー(350)
	Gen:T-01 ホルス(370) = ササゾー(390) + サラブレイズ(360)
	Gen:T-01 ホルス(370) = ゴクエンオ(710) + シヴァ(30)
	Gen:T-01 ホルス(370) = ゴクエンオ(670) + ベイントール(70)
	Gen:T-01 ホルス(370) = ゴクエンオ(670) + セイントール(80)
	Gen:T-01 ホルス(370) = クレメーオ(700) + スザク(50)
	Gen:T-01 ホルス(370) = キャプペン(520) + ライバード(220)
	Gen:T-01 ホルス(370) = キャプペン(520) + ボルカノン(230)
	Gen:T-01 ホルス(370) = カバネドリ(660) + セイントール(80)
	Gen:T-01 ホルス(370) = カバネドリ(660) + ジェットラン(90)
	Gen:T-01 ホルス(370) = イヌズマ(740) + ボルカイザー(10)
	Gen:T-01 ホルス(370) = イグニクス(380) + ホルス(370)
	Gen:T-01 ホルス(370) = イグニクス(380) + サラブレイズ(360)
	Gen:T-01 ホルス(370) = アルパオー(470) + ペコドン(280)
	Gen:T-01 ホルス(370) = アルパオー(470) + パリピドン(270)
	Gen:T-01 ホルス(370) = アルパオー(440) + レヴィドラ(310)
	Gen:T-01 ホルス(370) = アルパオー(440) + グランモス(300)
	Gen:T-01 ホルス(370) = アズレーン(500) + リリクイン(250)
	Gen:T-01 ホルス(370) = アズレーン(500) + サラブレイズ(240)
	Gen:T-01 ボルカノン(320) = ホークウィン(420) + ライバード(220)
	Gen:T-01 ボルカノン(320) = ホークウィン(420) + ボルカノン(230)
	Gen:T-01 ボルカノン(320) = ヘルゴート(590) + ゼノグリフ(60)
	Gen:T-01 ボルカノン(320) = ヘルゴート(590) + スザク(50)
	Gen:T-01 ボルカノン(320) = ヒエティ(460) + ヘルガルダ(190)
	Gen:T-01 ボルカノン(320) = パピテフ(490) + ジオラーヴァ(150)
	Gen:T-01 ボルカノン(320) = ニャンギマリ(510) + ボルゼクス(140)
	Gen:T-01 ボルカノン(320) = ニャンギマリ(510) + ツンドラー(130)
	Gen:T-01 ボルカノン(320) = ドンモップ(410) + ボルカノン(230)
	Gen:T-01 ボルカノン(320) = ドンモップ(410) + サラブレイズ(240)
	Gen:T-01 ボルカノン(320) = ツジギリ(640) + ボルカイザー(10)
	Gen:T-01 ボルカノン(320) = スナペント(550) + ジェットラン(90)
	Gen:T-01 ボルカノン(320) = スナペント(550) + グレイシャドウ(100)
	Gen:T-01 ボルカノン(320) = シロカバネ(620) + シヴァ(30)
	Gen:T-01 ボルカノン(320) = シルフィア(540) + グレイシャドウ(100)
	Gen:T-01 ボルカノン(320) = シルティア(530) + グレイシャル(120)
	Gen:T-01 ボルカノン(320) = シルキーヌ(450) + ヘルガルダ(190)
	Gen:T-01 ボルカノン(320) = シルキーヌ(450) + エレパンダ(200)
	Gen:T-01 ボルカノン(320) = シーペント(560) + セイントール(80)
	Gen:T-01 ボルカノン(320) = シーペント(560) + ジェットラン(90)
	Gen:T-01 ボルカノン(320) = ササゾー(430) + リリクイン(210)
	Gen:T-01 ボルカノン(320) = ササゾー(430) + ライバード(220)
	Gen:T-01 ボルカノン(320) = ササゾー(390) + リリクイン(250)
	Gen:T-01 ボルカノン(320) = ササゾー(390) + デスティング(260)
	Gen:T-01 ボルカノン(320) = キャプペン(520) + ツンドラー(130)
	Gen:T-01 ボルカノン(320) = キャプペン(520) + グレイシャル(120)
	Gen:T-01 ボルカノン(320) = イグニクス(380) + パリピドン(270)
	Gen:T-01 ボルカノン(320) = イグニクス(380) + デスティング(260)
	Gen:T-01 ボルカノン(320) = アルパオー(440) + リリクイン(210)
	Gen:T-01 ボルカノン(320) = アルパオー(440) + エレパンダ(200)
	Gen:T-01 ボルカノン(320) = アビスゴート(580) + ベイントール(70)
	Gen:T-01 ボルカノン(320) = アビスゴート(580) + ゼノグリフ(60)
	Gen:T-01 ボルカノン(320) = アズレーン(500) + ボルゼクス(140)
	Gen:T-01 ボルカノン(320) = アズレーン(500) + ジオラーヴァ(150)
	Gen:T-01 ボルカノン(230) = ホークウィン(420) + シヴァ(30)
	Gen:T-01 ボルカノン(230) = ドンモップ(410) + スザク(50)
	Gen:T-01 ボルカノン(230) = シルキーヌ(450) + ボルカイザー(10)
	Gen:T-01 ボルカノン(230) = ササゾー(430) + シヴァ(30)
	Gen:T-01 ボルカノン(230) = ササゾー(390) + ベイントール(70)
	Gen:T-01 ボルカノン(230) = ササゾー(390) + ゼノグリフ(60)
	Gen:T-01 ボルカノン(230) = イグニクス(380) + ベイントール(70)
	Gen:T-01 ボルカノン(230) = イグニクス(380) + セイントール(80)
	Gen:T-01 ボルカノン(230) = アルパオー(440) + ボルカイザー(10)
	Gen:T-01 ホークウィン(420) = ラブラドン(840) + ボルカイザー(10)
	Gen:T-01 ホークウィン(420) = ライコーン(680) + ジオラーヴァ(150)
	Gen:T-01 ホークウィン(420) = ホークウィン(420) + ホークウィン(420)
	Gen:T-01 ホークウィン(420) = ホークウィン(420) + ドンモップ(410)
	Gen:T-01 ホークウィン(420) = ヘルゴート(590) + リリクイン(250)
	Gen:T-01 ホークウィン(420) = ヘルゴート(590) + デスティング(260)
	Gen:T-01 ホークウィン(420) = ヘルゴート(590) + サラブレイズ(240)
	Gen:T-01 ホークウィン(420) = ブルフェルノ(790) + ゼノグリフ(60)
	Gen:T-01 ホークウィン(420) = ブルフェルノ(790) + スザク(50)
	Gen:T-01 ホークウィン(420) = フラリーナ(780) + ベイントール(70)
	Gen:T-01 ホークウィン(420) = フラリーナ(780) + ゼノグリフ(60)
	Gen:T-01 ホークウィン(420) = フラリーナ(780) + スザク(50)
	Gen:T-01 ホークウィン(420) = フブキツネ(760) + ベイントール(70)
	Gen:T-01 ホークウィン(420) = フブキツネ(760) + セイントール(80)
	Gen:T-01 ホークウィン(420) = フブキツネ(760) + ジェットラン(90)
	Gen:T-01 ホークウィン(420) = ビリビリリュー(810) + シヴァ(30)
	Gen:T-01 ホークウィン(420) = ヒエティ(480) + ホルス(370)
	Gen:T-01 ホークウィン(420) = ヒエティ(480) + フェスキー(350)
	Gen:T-01 ホークウィン(420) = ヒエティ(480) + サラブレイズ(360)
	Gen:T-01 ホークウィン(420) = ヒエティ(460) + ホルス(370)
	Gen:T-01 ホークウィン(420) = ヒエティ(460) + ササゾー(390)
	Gen:T-01 ホークウィン(420) = ヒエティ(460) + イグニクス(380)
